file_name,field,llm_value,rules_value,llm_normalized,rules_normalized,match,severity,notes
batch1-0331.jpg,seller_name,Ochoa-Scott,Ochoa-Scott,Ochoa-Scott,Ochoa-Scott,True,,
batch1-0331.jpg,seller_tax_id,921-82-1053,921-82-1053,921-82-1053,921-82-1053,True,,
batch1-0331.jpg,client_name,Green LLC,Green LLC,Green LLC,Green LLC,True,,
batch1-0331.jpg,client_tax_id,965-99-1263,965-99-1263,965-99-1263,965-99-1263,True,,
batch1-0331.jpg,invoice_number,94138597,94138597,94138597,94138597,True,,
batch1-0331.jpg,invoice_date,02/05/2018,02/05/2018,2018-02-05,2018-02-05,True,,
batch1-0331.jpg,net_worth,"$1 612,50","1 612,50",1612.50,1612.50,True,,formatting_only
batch1-0331.jpg,vat,"$ 161,25","161,25",161.25,161.25,True,,formatting_only
batch1-0331.jpg,gross_worth,"$1773,75","1773,75",1773.75,1773.75,True,,formatting_only
batch1-0332.jpg,seller_name,Chavez Ltd,Chavez Ltd,Chavez Ltd,Chavez Ltd,True,,
batch1-0332.jpg,seller_tax_id,904-77-6503,904-77-6503,904-77-6503,904-77-6503,True,,
batch1-0332.jpg,client_name,Roberts Ltd,Roberts Ltd,Roberts Ltd,Roberts Ltd,True,,
batch1-0332.jpg,client_tax_id,956-94-0439,956-94-0439,956-94-0439,956-94-0439,True,,
batch1-0332.jpg,invoice_number,13507183,13507183,13507183,13507183,True,,
batch1-0332.jpg,invoice_date,09/09/2015,09/09/2015,2015-09-09,2015-09-09,True,,
batch1-0332.jpg,net_worth,"1 026,72","1 026,72",1026.72,1026.72,True,,
batch1-0332.jpg,vat,"102,67","102,67",102.67,102.67,True,,
batch1-0332.jpg,gross_worth,"1 129,39","1129,39",1129.39,1129.39,True,,formatting_only
batch1-0333.jpg,seller_name,"Solomon, Ford and Ellis","Solomon, Ford and Ellis","Solomon, Ford and Ellis","Solomon, Ford and Ellis",True,,
batch1-0333.jpg,seller_tax_id,954-73-2478,954-73-2478,954-73-2478,954-73-2478,True,,
batch1-0333.jpg,client_name,Hamilton-Jackson,Hamilton-Jackson,Hamilton-Jackson,Hamilton-Jackson,True,,
batch1-0333.jpg,client_tax_id,988-96-5706,988-96-5706,988-96-5706,988-96-5706,True,,
batch1-0333.jpg,invoice_number,74819543,74819543,74819543,74819543,True,,
batch1-0333.jpg,invoice_date,10/07/2020,10/07/2020,2020-10-07,2020-10-07,True,,
batch1-0333.jpg,net_worth,"125,00","125,00",125.00,125.00,True,,
batch1-0333.jpg,vat,"12,50","12,50",12.50,12.50,True,,
batch1-0333.jpg,gross_worth,"137,50","137,50",137.50,137.50,True,,
batch1-0334.jpg,seller_name,Duncan Ltd,Duncan Ltd,Duncan Ltd,Duncan Ltd,True,,
batch1-0334.jpg,seller_tax_id,964-84-8594,964-84-8594,964-84-8594,964-84-8594,True,,
batch1-0334.jpg,client_name,Edwards-Archer,Edwards-Archer,Edwards-Archer,Edwards-Archer,True,,
batch1-0334.jpg,client_tax_id,909-91-4017,909-91-4017,909-91-4017,909-91-4017,True,,
batch1-0334.jpg,invoice_number,65498230,65498230,65498230,65498230,True,,
batch1-0334.jpg,invoice_date,02/16/2021,02/16/2021,2021-02-16,2021-02-16,True,,
batch1-0334.jpg,net_worth,"$ 45,50","45,50",45.50,45.50,True,,formatting_only
batch1-0334.jpg,vat,"$ 4,55","4,55",4.55,4.55,True,,formatting_only
batch1-0334.jpg,gross_worth,"$ 50,05","50,05",50.05,50.05,True,,formatting_only
batch1-0335.jpg,seller_name,Johnson-Brooks,Johnson-Brooks,Johnson-Brooks,Johnson-Brooks,True,,
batch1-0335.jpg,seller_tax_id,964-92-2746,964-92-2746,964-92-2746,964-92-2746,True,,
batch1-0335.jpg,client_name,"Proctor, Morgan and Williams","Proctor, Morgan and Williams","Proctor, Morgan and Williams","Proctor, Morgan and Williams",True,,
batch1-0335.jpg,client_tax_id,939-82-6262,939-82-6262,939-82-6262,939-82-6262,True,,
batch1-0335.jpg,invoice_number,51467723,51467723,51467723,51467723,True,,
batch1-0335.jpg,invoice_date,04/21/2019,04/21/2019,2019-04-21,2019-04-21,True,,
batch1-0335.jpg,net_worth,"$ 96 817,20","96 817,20",96817.20,96817.20,True,,formatting_only
batch1-0335.jpg,vat,"$ 9 681,72","9 681,72",9681.72,9681.72,True,,formatting_only
batch1-0335.jpg,gross_worth,"$ 106 498,92","106 498,92",106498.92,106498.92,True,,formatting_only
batch1-0336.jpg,seller_name,Decker PLC,Decker PLC,Decker PLC,Decker PLC,True,,
batch1-0336.jpg,seller_tax_id,957-87-4031,957-87-4031,957-87-4031,957-87-4031,True,,
batch1-0336.jpg,client_name,Boyle Ltd,Boyle Ltd,Boyle Ltd,Boyle Ltd,True,,
batch1-0336.jpg,client_tax_id,993-86-3706,993-86-3706,993-86-3706,993-86-3706,True,,
batch1-0336.jpg,invoice_number,97511742,97511742,97511742,97511742,True,,
batch1-0336.jpg,invoice_date,04/07/2016,04/07/2016,2016-04-07,2016-04-07,True,,
batch1-0336.jpg,net_worth,"4 314,93","4 314,93",4314.93,4314.93,True,,
batch1-0336.jpg,vat,"431,49","431,49",431.49,431.49,True,,
batch1-0336.jpg,gross_worth,"4 746,42","4 746,42",4746.42,4746.42,True,,
batch1-0337.jpg,seller_name,"Snyder, Bryan and Booth","Snyder, Bryan and Booth","Snyder, Bryan and Booth","Snyder, Bryan and Booth",True,,
batch1-0337.jpg,seller_tax_id,983-70-0913,983-70-0913,983-70-0913,983-70-0913,True,,
batch1-0337.jpg,client_name,Ashley-Perry,Ashley-Perry,Ashley-Perry,Ashley-Perry,True,,
batch1-0337.jpg,client_tax_id,981-88-6259,981-88-6259,981-88-6259,981-88-6259,True,,
batch1-0337.jpg,invoice_number,94098997,94098997,94098997,94098997,True,,
batch1-0337.jpg,invoice_date,10/04/2020,10/04/2020,2020-10-04,2020-10-04,True,,
batch1-0337.jpg,net_worth,"13 846,77","13 846,77",13846.77,13846.77,True,,
batch1-0337.jpg,vat,"1 384,68","1 384,68",1384.68,1384.68,True,,
batch1-0337.jpg,gross_worth,"15 231,45","15 231,45",15231.45,15231.45,True,,
batch1-0338.jpg,seller_name,Bailey PLC,Bailey PLC,Bailey PLC,Bailey PLC,True,,
batch1-0338.jpg,seller_tax_id,918-95-6591,918-95-6591,918-95-6591,918-95-6591,True,,
batch1-0338.jpg,client_name,Turner Inc,Turner Inc,Turner Inc,Turner Inc,True,,
batch1-0338.jpg,client_tax_id,998-92-7755,998-92-7755,998-92-7755,998-92-7755,True,,
batch1-0338.jpg,invoice_number,11926242,11926242,11926242,11926242,True,,
batch1-0338.jpg,invoice_date,03/01/2012,03/01/2012,2012-03-01,2012-03-01,True,,
batch1-0338.jpg,net_worth,"3 340,47","3 340,47",3340.47,3340.47,True,,
batch1-0338.jpg,vat,"334,05","334,05",334.05,334.05,True,,
batch1-0338.jpg,gross_worth,"3 674,52","3 674,52",3674.52,3674.52,True,,
batch1-0339.jpg,seller_name,Rodriguez-Barnett,Rodriguez-Barnett,Rodriguez-Barnett,Rodriguez-Barnett,True,,
batch1-0339.jpg,seller_tax_id,986-88-3758,986-88-3758,986-88-3758,986-88-3758,True,,
batch1-0339.jpg,client_name,"Le, Lawson and Rios","Le, Lawson and Rios","Le, Lawson and Rios","Le, Lawson and Rios",True,,
batch1-0339.jpg,client_tax_id,967-80-5679,967-80-5679,967-80-5679,967-80-5679,True,,
batch1-0339.jpg,invoice_number,48531206,48531206,48531206,48531206,True,,
batch1-0339.jpg,invoice_date,08/03/2019,08/03/2019,2019-08-03,2019-08-03,True,,
batch1-0339.jpg,net_worth,"5 587,91","5 587,91",5587.91,5587.91,True,,
batch1-0339.jpg,vat,"558,79","558,79",558.79,558.79,True,,
batch1-0339.jpg,gross_worth,"6 146,70","6 146,70",6146.70,6146.70,True,,
batch1-0340.jpg,seller_name,Daniel-Morrison,Daniel-Morrison,Daniel-Morrison,Daniel-Morrison,True,,
batch1-0340.jpg,seller_tax_id,995-99-6193,995-99-6193,995-99-6193,995-99-6193,True,,
batch1-0340.jpg,client_name,"Snyder, Benton and Reed","Snyder, Benton and Reed","Snyder, Benton and Reed","Snyder, Benton and Reed",True,,
batch1-0340.jpg,client_tax_id,999-86-4010,999-86-4010,999-86-4010,999-86-4010,True,,
batch1-0340.jpg,invoice_number,82977013,82977013,82977013,82977013,True,,
batch1-0340.jpg,invoice_date,12/06/2013,12/06/2013,2013-12-06,2013-12-06,True,,
batch1-0340.jpg,net_worth,"244,99","244,99",244.99,244.99,True,,
batch1-0340.jpg,vat,"24,50","24,50",24.50,24.50,True,,
batch1-0340.jpg,gross_worth,"269,49","269,49",269.49,269.49,True,,
batch1-0341.jpg,seller_name,Collins Group,Collins Group,Collins Group,Collins Group,True,,
batch1-0341.jpg,seller_tax_id,942-76-9532,942-76-9532,942-76-9532,942-76-9532,True,,
batch1-0341.jpg,client_name,Pope LLC,Pope LLC,Pope LLC,Pope LLC,True,,
batch1-0341.jpg,client_tax_id,918-70-1520,918-70-1520,918-70-1520,918-70-1520,True,,
batch1-0341.jpg,invoice_number,86225018,86225018,86225018,86225018,True,,
batch1-0341.jpg,invoice_date,12/18/2015,12/18/2015,2015-12-18,2015-12-18,True,,
batch1-0341.jpg,net_worth,"$ 5 409,72","5 409,72",5409.72,5409.72,True,,formatting_only
batch1-0341.jpg,vat,"$ 540,97","540,97",540.97,540.97,True,,formatting_only
batch1-0341.jpg,gross_worth,"$ 5 950,69","5 950,69",5950.69,5950.69,True,,formatting_only
batch1-0342.jpg,seller_name,Love Inc,Love Inc,Love Inc,Love Inc,True,,
batch1-0342.jpg,seller_tax_id,960-75-3286,960-75-3286,960-75-3286,960-75-3286,True,,
batch1-0342.jpg,client_name,Brown and Sons,Brown and Sons,Brown and Sons,Brown and Sons,True,,
batch1-0342.jpg,client_tax_id,992-88-6386,992-88-6386,992-88-6386,992-88-6386,True,,
batch1-0342.jpg,invoice_number,79064100,79064100,79064100,79064100,True,,
batch1-0342.jpg,invoice_date,05/25/2018,05/25/2018,2018-05-25,2018-05-25,True,,
batch1-0342.jpg,net_worth,"84,44","84,44",84.44,84.44,True,,
batch1-0342.jpg,vat,"8,44","8,44",8.44,8.44,True,,
batch1-0342.jpg,gross_worth,"92,88","92,88",92.88,92.88,True,,
batch1-0343.jpg,seller_name,Williams Group,Williams Group,Williams Group,Williams Group,True,,
batch1-0343.jpg,seller_tax_id,930-72-1637,930-72-1637,930-72-1637,930-72-1637,True,,
batch1-0343.jpg,client_name,Frazier-Davis,Frazier-Davis,Frazier-Davis,Frazier-Davis,True,,
batch1-0343.jpg,client_tax_id,952-75-5780,952-75-5780,952-75-5780,952-75-5780,True,,
batch1-0343.jpg,invoice_number,69057610,69057610,69057610,69057610,True,,
batch1-0343.jpg,invoice_date,08/20/2013,08/20/2013,2013-08-20,2013-08-20,True,,
batch1-0343.jpg,net_worth,"15 936,26","15 936,26",15936.26,15936.26,True,,
batch1-0343.jpg,vat,"1 593,63","1 593,63",1593.63,1593.63,True,,
batch1-0343.jpg,gross_worth,"17 529,89","17 529,89",17529.89,17529.89,True,,
batch1-0344.jpg,seller_name,Saunders-Lee,Saunders-Lee,Saunders-Lee,Saunders-Lee,True,,
